DATE,DESCRIPTION,AMOUNT,Payee,ADDED OR MATCHED,Rule
"03/14/2025","THE HOME DEPOT 2609","-$17.64","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/14/2025 $17.64","Auto-add RULE APPLIED "
"03/13/2025","REDBOX+ DUMPSTERS OF NOR","-$567.30","RedBox Plus Dumpster","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 03/13/2025 $567.30","Auto-add RULE APPLIED "
"03/13/2025","THE HOME DEPOT 2609","-$56.08","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/13/2025 $56.08","Auto-add RULE APPLIED "
"03/13/2025","THE HOME DEPOT 2609","-$12.94","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/13/2025 $12.94","Auto-add RULE APPLIED "
"03/12/2025","SCITUATE PORTABLE RESTROO","-$170.78","Scituate Portable Restrooms Inc","Added to:  Expense: Rent:Equipment Rental 03/12/2025 $170.78","Auto-add RULE APPLIED "
"03/10/2025","THE HOME DEPOT #4287","-$505.89","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/10/2025 $505.89","Auto-add RULE APPLIED "
"03/07/2025","EXXON MANSFIELD SERVIC","-$48.09","Exxon","Added to:  Expense: Vehicle Expenses:Vehicle Gas & Fuel 03/07/2025 $48.09","Auto-add RULE APPLIED "
"03/07/2025","THE HOME DEPOT #2609","-$36.40","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/07/2025 $36.40","Auto-add RULE APPLIED "
"03/07/2025","LOWES #X2397*","-$8.54","Lowe's","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/07/2025 $8.54","Auto-add RULE APPLIED "
"03/07/2025","LOWES #X2397*","$8.54","","Added to:  Credit Card Credit: Cost Of Goods Sold:Supplies & Materials - COGS 03/07/2025 $8.54",""
"03/06/2025","LOWES #X2397*","-$18.79","Lowe's","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/06/2025 $18.79","Auto-add RULE APPLIED "
"03/05/2025","SQ *PETER BOTTACHIARI","-$515.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 03/05/2025 $515.00","Auto-add RULE APPLIED "
"03/04/2025","TOWN OF MI* TOWN OF MI","-$757.19","","Added to:  Expense: Utilities 03/04/2025 $757.19",""
"03/04/2025","LOWES #X2397*","$29.73","","Added to:  Credit Card Credit: Cost Of Goods Sold:Supplies & Materials - COGS 03/04/2025 $29.73",""
"03/04/2025","LOWES #X1932*","-$41.40","Lowe's","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/04/2025 $41.40","Auto-add RULE APPLIED "
"03/02/2025","FLOOR AND DECOR 350","-$15.99","Floor and Decor","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 03/02/2025 $15.99"," RULE APPLIED "
"02/28/2025","THE HOME DEPOT #4282","-$8.84","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/28/2025 $8.84","Auto-add RULE APPLIED "
"02/28/2025","THE HOME DEPOT #4282","-$159.80","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/28/2025 $159.80","Auto-add RULE APPLIED "
"02/26/2025","THE HOME DEPOT #4282","-$94.25","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/26/2025 $94.25","Auto-add RULE APPLIED "
"02/25/2025","KITCHEN & BATH GALLERY","-$50.78","KITCHEN & BATH GALLERY","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/25/2025 $50.78",""
"02/24/2025","THE HOME DEPOT #4285","-$29.72","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/24/2025 $29.72","Auto-add RULE APPLIED "
"02/24/2025","SQ *PETER BOTTACHIARI","-$885.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 02/24/2025 $885.00","Auto-add RULE APPLIED "
"02/13/2025","REDBOX+ DUMPSTERS OF NOR","-$975.00","RedBox Plus Dumpster","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 02/13/2025 $975.00","Auto-add RULE APPLIED "
"02/12/2025","FLOOR AND DECOR 790 WEB","-$543.39","Floor and Decor","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/12/2025 $543.39"," RULE APPLIED "
"02/12/2025","THE HOME DEPOT #4279","-$31.93","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/12/2025 $31.93","Auto-add RULE APPLIED "
"02/12/2025","THE HOME DEPOT #4279","-$71.71","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/12/2025 $71.71","Auto-add RULE APPLIED "
"02/10/2025","ONLINE PERMIT CENTER","-$618.93","Online Permit Center","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 02/10/2025 $618.93"," RULE APPLIED "
"02/10/2025","THE HOME DEPOT #2615","-$28.78","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/10/2025 $28.78","Auto-add RULE APPLIED "
"02/08/2025","THE HOME DEPOT #4279","-$49.20","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/08/2025 $49.20","Auto-add RULE APPLIED "
"02/07/2025","THE HOME DEPOT #2615","-$7.19","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/07/2025 $7.19","Auto-add RULE APPLIED "
"02/07/2025","THE HOME DEPOT #4279","-$112.31","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/07/2025 $112.31","Auto-add RULE APPLIED "
"02/07/2025","THE HOME DEPOT #4285","-$31.39","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/07/2025 $31.39","Auto-add RULE APPLIED "
"02/07/2025","THE HOME DEPOT #4285","-$43.83","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/07/2025 $43.83","Auto-add RULE APPLIED "
"02/05/2025","THE PAINT SHOPPE-PAWTUCK","-$27.57","Paint Shoppe","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/05/2025 $27.57","Auto-add RULE APPLIED "
"02/03/2025","THE HOME DEPOT #2624","-$98.79","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 02/03/2025 $98.79","Auto-add RULE APPLIED "
"01/28/2025","THE HOME DEPOT #4285","-$78.38","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 01/28/2025 $78.38","Auto-add RULE APPLIED "
"01/28/2025","SQ *PETER BOTTACHIARI","-$505.00","PETER BOTTACHIARI / Ocean State Disposal","Added to:  Expense: Cost Of Goods Sold:Disposal & Waste Fees - COGS 01/28/2025 $505.00","Auto-add RULE APPLIED "
"01/27/2025","SCITUATE PORTABLE RESTROO","-$170.78","Scituate Portable Restrooms Inc","Added to:  Expense: Rent:Equipment Rental 01/27/2025 $170.78","Auto-add RULE APPLIED "
"01/27/2025","SHERWIN-WILLIAMSXX5429","-$16.91","Sherwin Williams","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 01/27/2025 $16.91","Auto-add RULE APPLIED "
"01/17/2025","THE HOME DEPOT #4280","-$23.05","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 01/17/2025 $23.05","Auto-add RULE APPLIED "
"01/17/2025","THE HOME DEPOT #4280","-$149.76","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 01/17/2025 $149.76","Auto-add RULE APPLIED "
"01/17/2025","THE HOME DEPOT #4280 WARWICK RI","-$23.05","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 01/17/2025 $23.05","Auto-add RULE APPLIED "
"01/17/2025","THE HOME DEPOT #4280 WARWICK RI","-$149.76","Home Depot","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 01/17/2025 $149.76","Auto-add RULE APPLIED "
"01/14/2025","ONLINE PERMIT CENTER","-$421.91","Online Permit Center","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 01/14/2025 $421.91"," RULE APPLIED "
"01/14/2025","GAF CONTRACTOR SVCS USD","-$80.00","GAF Contractors","Added to:  Expense: Cost Of Goods Sold:Roof Registration 01/14/2025 $80.00","Auto-add RULE APPLIED "
"01/14/2025","ONLINE PERMIT CENTER","-$124.58","Online Permit Center","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 01/14/2025 $124.58"," RULE APPLIED "
"01/14/2025","ONLINE PERMIT CENTER WWW.PROVIDENC CA","-$421.91","Online Permit Center","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 01/14/2025 $421.91"," RULE APPLIED "
"01/14/2025","ONLINE PERMIT CENTER WWW.PROVIDENC CA","-$124.58","Online Permit Center","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 01/14/2025 $124.58"," RULE APPLIED "
"01/14/2025","GAF CONTRACTOR SVCS USD 877-423-7663NJ","-$80.00","GAF Contractors","Added to:  Expense: Cost Of Goods Sold:Roof Registration 01/14/2025 $80.00","Auto-add RULE APPLIED "
"01/13/2025","SHERWIN-WILLIAMS705047NORTH ATTLEBO MA","-$87.09","Sherwin Williams","Added to:  Expense: Cost Of Goods Sold:Supplies & Materials - COGS 01/13/2025 $87.09","Auto-add RULE APPLIED "
"01/13/2025","ONLINE PERMIT CENTER WARWICKRI.GOV CA","-$432.52","Online Permit Center","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 01/13/2025 $432.52"," RULE APPLIED "
"01/12/2025","ONLINE PERMIT CENTER","-$432.52","Online Permit Center","Added to:  Expense: Cost Of Goods Sold:Licenses & Permits - COGS 01/12/2025 $432.52"," RULE APPLIED "
